transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,yetvir,Vireo flavifrons,Yellow-throated Vireo,forest
BOSACH,BOSACH_PC4,17.54730097,-90.19812296,2019,wetsab1,Pampa curvipennis,Wedge-tailed Sabrewing,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,paibun,Passerina ciris,Painted Bunting,forest
BOSACH,BOSACH_PC3,17.54578301,-90.19685897,2019,whbwre1,Uropsila leucogastra,White-bellied Wren,forest
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,gartro1,Trogon caligatus,Gartered Violaceous Trogon,forest
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,tawwoo1,Dendrocincla anabatina,Tawny-winged Woodcreeper,forest
BOSACH,BOSACH_PC2,17.543854,-90.19600603,2019,bubgro1,Cyanoloxia cyanoides,Blue-black Grosbeak,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,paibun,Passerina ciris,Painted Bunting,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,indbun,Passerina cyanea,Indigo Bunting,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,ovenbi1,Seiurus aurocapilla,Ovenbird,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,balori,Icterus galbula,Baltimore Oriole,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,wbwwre1,Henicorhina leucosticta,White-breasted Wood-Wren,forest
BOSACH,BOSACH_PC1,17.54198601,-90.19711101,2019,tenwar,Leiothlypis peregrina,Tennessee Warbler,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,cregua1,Penelope purpurascens,Crested Guan,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,grecur1,Crax rubra,Great Curassow,forest
BOSCHIL,BOSCHIL_PC8,17.57102,-90.18923697,2019,magwar,Setophaga magnolia,Magnolia Warbler,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,grbspa1,Arremonops chloronotus,Green-backed Sparrow,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,bncfly,Myiarchus tyrannulus,Brown-crested Flycatcher,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,colara2,Pteroglossus torquatus,Collared Aracari,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,slttro1,Trogon massena,Slaty-tailed Trogon,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,indbun,Passerina cyanea,Indigo Bunting,forest
BOSCHIL,BOSCHIL_PC7,17.56891203,-90.18947502,2019,rcatan1,Habia rubica,Red-crowned Ant-Tanager,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,grecur1,Crax rubra,Great Curassow,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,barant1,Thamnophilus doliatus,Barred Antshrike,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,grbspa1,Arremonops chloronotus,Green-backed Sparrow,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,vauswi,Chaetura vauxi,Vaux's Swift,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,bugtan,Thraupis episcopus,Blue-gray Tanager,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,trogna2,Polioptila bilineata,White-browed Gnatcatcher,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,sumtan,Piranga rubra,Summer Tanager,forest
